Timestamp,City,Country,Temperature (°C),Feels Like (°C),Humidity (%),Wind Speed (m/s),Weather Description
2025-03-03 08:15:54,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:15:54,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:16:25,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:16:25,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:16:25,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:16:55,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:16:55,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:16:55,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:17:26,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:17:26,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:17:26,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:17:56,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:17:56,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:17:56,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:18:26,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:18:26,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:18:27,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:18:57,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:18:57,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:18:57,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:19:27,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:19:27,Hue,VN,25.14,25.67,75,1.1,few clouds
2025-03-03 08:19:27,Ho Chi Minh City,VN,26.99,28.36,64,3.24,scattered clouds
2025-03-03 08:19:57,Hanoi,VN,22,22.5,86,2.28,overcast clouds
2025-03-03 08:19:57,Hue,VN,25.14,25.67,75,1.1,few clouds
